Code;Location;Voters;Envelopes issued;Valid votes;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
535826;Adamov;682;474;472;126;0;2;0;0;40;12;1;91;3;3;0;0;1;0;36;1;13;4;36;23;43;37;0;0
536156;Bečice;82;63;63;17;0;0;0;0;3;10;0;3;0;1;0;0;0;0;5;0;1;0;9;5;8;1;0;0
544272;Borek;1215;923;914;275;0;3;1;0;62;47;1;123;14;5;0;0;5;0;58;2;26;15;66;65;93;52;0;1
544281;Borovany;3299;2093;2081;645;6;0;0;9;193;173;5;205;19;21;3;4;5;1;87;10;26;26;223;77;176;159;3;5
535681;Borovnice;107;78;78;16;0;0;0;0;0;2;0;9;0;0;0;0;0;0;9;2;6;1;14;6;7;6;0;0
544299;Boršov nad Vltavou;1431;993;986;261;0;1;0;1;50;72;2;133;22;4;0;0;3;2;105;2;21;8;88;68;93;50;0;0
535401;Bošilec;173;122;122;32;0;0;0;1;12;4;0;17;1;1;0;1;0;2;4;1;2;0;11;3;17;12;0;1
551490;Branišov;181;133;131;27;0;0;0;3;6;13;0;20;5;0;0;0;0;0;13;0;2;0;10;7;17;8;0;0
536059;Břehov;119;89;86;23;0;0;0;0;2;4;0;18;5;1;0;0;0;1;7;0;1;0;9;4;7;3;1;0
535541;Čakov;220;158;157;24;0;0;1;0;22;6;0;26;5;1;0;2;0;1;9;0;7;4;13;11;21;4;0;0
544329;Čejkovice;282;166;164;69;0;0;0;0;17;7;0;10;0;0;0;0;0;0;7;2;4;0;16;8;15;9;0;0
598976;Čenkov u Bechyně;48;40;40;7;0;0;0;0;1;6;0;7;0;0;0;0;0;0;0;0;0;0;6;3;5;5;0;0
544256;České Budějovice;74414;45962;45670;12640;41;34;38;70;3660;2085;99;5976;810;255;42;34;99;66;2115;171;1016;824;4301;3156;5036;2997;63;42
551503;Čížkrajice;201;117;117;50;0;0;0;1;13;2;0;8;1;1;0;0;0;0;6;0;1;2;10;4;7;11;0;0
535249;Dasný;253;183;183;40;0;0;0;0;15;13;1;34;3;0;0;0;0;0;12;1;2;0;19;14;14;15;0;0
544361;Dívčice;454;287;283;72;0;0;2;1;43;21;0;28;1;0;0;1;0;0;22;3;3;2;27;9;27;20;0;1
535206;Dobrá Voda u Českých Budějovic;2119;1444;1440;416;1;4;0;1;85;86;4;200;30;3;0;2;3;2;78;4;20;26;120;92;156;105;1;1
536199;Dobšice;92;44;44;11;0;0;0;0;5;0;0;4;0;0;1;0;1;0;7;0;0;0;5;1;8;1;0;0
544388;Dolní Bukovsko;1332;799;794;244;0;0;5;0;74;53;1;82;15;5;2;0;2;1;47;0;17;9;85;34;62;56;0;0
535664;Doubravice;243;175;175;52;1;0;0;0;12;12;0;13;1;1;0;0;0;0;24;1;6;5;6;10;22;9;0;0
544400;Doudleby;382;245;244;55;0;0;0;0;12;7;2;48;3;5;0;1;0;1;14;0;8;3;24;20;23;17;1;0
